Sl.No,Tours,Name of the Tour Regular Tours,Time and Places Covered
1,Regular Tours,Half Day Chennai City Sight Seeing Tour  ,"Morning and evening on all days from : 8.00 a.m. to 1.00 p.m. and 1.30 p.m. and 6.30 p.m.Places covered: Fort St. George, Government Museum, Valluvarkottam, Snake Park, Kapaleeswarar Temple and Marina Beach (Government Museum will be closed on Fridays and Birla Planetorium will be covered on that day).  (Snake Park will be closed on Tuesdays).  [ For Foreigner Entry Fee at both Museum extra ]  "
2,Regular Tours,One Day Mamallapuram Tour (Round Trip),On all days Time : 6.30 a.m. to 7.00 p.m.  Places covered: Kancheepuram -  Mamallapuram –  Muttukadu Boating and V.G.P. Golden Beach. [ For Foreigner Entry Fee at both Museum extra ]
3,Regular Tours,One Day Pondicherry Tour,Saturday and Sunday : 6.30 a.m.-9.00 p.m. Places covered: Pondicherry  - Sri Aurobindo Ashram – Museum - Beach – Auroville – Boating at Mudaliar Kuppam – Chennai.
4,Regular Tours,One Day   Tirupathi Tour   (Day Trip),Monday to Friday: Time 6.10 a.m. and return on the same day after Dharisan by 11.00 p.m.Places to be Visited: Thirupathi – Thirumala - Thiruchanure 
5,Regular Tours,One Day Thiruvannamalai Girivalam Tour,Leaves Chennai every full moon day at 10.00 a.m. / 2.00 p.m. and return on next day 6.00 a.m.
6,Regular Tours,Three Days   Navagraga Tour (Nine Planets Tour),"Leaves Chennai every Friday at 10.30 p.m. and returns on the following Monday 5.00 a.m.Places covered: Vaitheeswaran Koil: (Angarha-Mars) Thiruvengadu, (Budha-Mercury), Keezhperumpallam (Kethu), Thirunallar (Sani-Saturn), Alangudi (Guru-Jupitur), Thingalur (Chandran-Moon), Thirunageswaram (Raghu), Surianar Kovil (Surya-Sun) and Kanchanur (Sukra-Venus)."
7,Regular Tours,Six Days   South India Tour,"Leaves Chennai on every Saturday at 7.00 a.m. and return on the following Thursday 5.00 p.m.Places Covered: Bangalore, Hosur*, Srirangapatna, Brindhavan Garden, Mysore*, Mudumalai Wild Life Sanctuary, Ooty*, Perur Amman Temple, Marudhamalai, Coimbatore*, Hogenakkal*, Thiruvannamalai."
8,Regular Tours,Eight Days   East West Coast Tour,"Leaves Chennai every Wednesday at 7.00 a.m. and returns on the following Wednesday by 6.00 a.m. aces covered: Thiruvannamalai, Yercaud*, Marudamalai, Coimbatore*, Guruvayur, Kaladi, Cochin*, Alleppey, Thiruvanathapuram*, Kovalam, PlSuchindram, Kanyakumari*, Courtallam, Madurai*, Trichi*, Melmaruvathur."
9,Regular Tours,Eight Days    Tamil Nadu Tour ,"Leaves Chennai every Saturday at 7.00 a.m. and return on the following Saturday 6.00 p.m. Places covered: Pondicherry, Pitchavaram, Chidambaram, Vaitheeswaran Koil*, Nagore, Velankanni, Mannargudi, Thanjavur*, Rameswaram*, Kanyakumari*, Suchindram, Madurai*, Kodaikanal*, Trichi*."
10,Regular Tours,Fourteen Days  Sunny South Tour,"Leaves Chennai at 7.00 a.m. every Wednesday and returns on the 14 th day evening. Places covered: Thiruthani, Thirupathi*, Thiruchanoor, Bangalore, Hosur*, Mysore*, Mudumalai Wild Life Sanctuary, Ooty*, Marudhamalai, Coimbatore*, Guruvayur, Cochin*, Kovalam, Trivandram*, Suchindram, Kanyakumari*, Tiruchendur, Rameswaram*, Thiruparamkundram, Madurai*, Palani, Trichy*, Thanjavur, Swamimalai, Poompuhar, Chidambaram*, Pondicherry, Mamallapuram*, Kancheepuram.  "
